transaction_id,bill_date,store_id,customer_id,product_id,supplier_id,channel,quantity,mrp,discount_pct,discount_amount,sale_price,total_sale_amount,total_cost,gross_profit,gross_margin_pct,payment_mode,is_festive_period,festival_name,return_flag,date_id
TXN00000032,2025-01-01,STR01109,CUS02582,PRD01461,SUP050,In-Store,2,₹75.00,19.49%,₹14.62,₹60.38,₹120.76,₹99.92,₹20.84,17.26%,Net Banking,No,,No,20250101
TXN00000033,2024-04-02,STR01040,CUS09007,PRD01806,SUP260,In-Store,1,₹170.00,6.05%,₹10.29,₹159.71,₹159.71,₹145.31,₹14.40,9.02%,Cash,No,,No,20240402
TXN00000034,2025-10-02,STR01445,CUS18440,PRD00029,SUP300,Online,1,₹445.00,1.73%,₹7.70,₹437.30,₹437.30,₹353.90,₹83.40,19.07%,Credit Card,No,,No,20251002
TXN00000035,2025-02-14,STR01134,CUS10987,PRD00538,SUP286,In-Store,5,₹135.00,21.86%,₹29.51,₹105.49,₹527.45,₹451.90,₹75.55,14.32%,UPI,No,,No,20250214
TXN00000036,2024-09-13,STR01480,CUS02666,PRD01632,SUP029,Online,1,₹65.00,5.08%,₹3.30,₹61.70,₹61.70,₹50.85,₹10.85,17.59%,Credit Card,No,,No,20240913
TXN00000037,2024-05-13,STR01173,CUS09438,PRD00129,SUP193,In-Store,5,₹170.00,6.90%,₹11.73,₹158.27,₹791.35,₹618.05,₹173.30,21.90%,Cash,No,,No,20240513
TXN00000038,2024-08-09,STR01209,CUS03921,PRD01950,SUP063,In-Store,5,₹75.00,2.31%,₹1.73,₹73.27,₹366.35,₹288.65,₹77.70,21.21%,Cash,No,,No,20240809
TXN00000039,2024-10-05,STR01141,CUS07986,PRD01037,SUP143,In-Store,3,₹140.00,1.37%,₹1.92,₹138.08,₹414.24,₹320.76,₹93.48,22.57%,UPI,No,,No,20241005
TXN00000040,2025-02-14,STR01224,CUS17440,PRD01231,SUP015,In-Store,3,₹40.00,7.70%,₹3.08,₹36.92,₹110.76,₹100.26,₹10.50,9.48%,Cash,No,,No,20250214
TXN00000041,2025-11-21,STR01432,CUS11849,PRD01113,SUP284,In-Store,4,₹70.00,4.89%,₹3.42,₹66.58,₹266.32,₹228.12,₹38.20,14.34%,UPI,No,,No,20251121
TXN00000042,2024-10-30,STR01091,CUS16138,PRD01467,SUP026,App,1,₹174.00,9.52%,₹16.56,₹157.44,₹157.44,₹121.58,₹35.86,22.78%,Cash,Yes,Diwali,No,20241030
TXN00000043,2025-05-07,STR01202,CUS01383,PRD00322,SUP277,Online,4,₹55.00,1.70%,₹0.94,₹54.06,₹216.24,₹157.28,₹58.96,27.27%,Cash,No,,No,20250507
TXN00000044,2024-11-28,STR01191,CUS08601,PRD01176,SUP093,App,2,₹29.00,3.16%,₹0.92,₹28.08,₹56.16,₹46.94,₹9.22,16.42%,UPI,No,,No,20241128
TXN00000045,2025-08-08,STR01131,CUS08564,PRD00887,SUP230,Online,2,₹54.00,3.60%,₹1.94,₹52.06,₹104.12,₹75.14,₹28.98,27.83%,UPI,No,,No,20250808
TXN00000046,2025-07-20,STR01126,CUS00510,PRD01950,SUP238,In-Store,4,₹75.00,38.01%,₹28.51,₹46.49,₹185.96,₹230.92,-₹44.96,-24.18%,UPI,No,,No,20250720
TXN00000047,2024-09-27,STR01323,CUS09913,PRD01551,SUP294,Phone-Order,4,₹435.00,3.83%,₹16.66,₹418.34,"₹1,673.36","₹1,323.36",₹350.00,20.92%,Debit Card,No,,No,20240927
TXN00000048,2024-05-21,STR01418,CUS10582,PRD00799,SUP281,Online,4,₹35.00,0.42%,₹0.15,₹34.85,₹139.40,₹92.60,₹46.80,33.57%,UPI,No,,No,20240521
TXN00000049,2024-06-26,STR01302,CUS05595,PRD00714,SUP051,In-Store,3,₹294.00,18.54%,₹54.51,₹239.49,₹718.47,₹616.80,₹101.67,14.15%,Cash,No,,No,20240626
TXN00000050,2025-10-20,STR01256,CUS15262,PRD01419,SUP245,Online,4,₹110.00,2.63%,₹2.89,₹107.11,₹428.44,₹387.12,₹41.32,9.64%,Cash,No,,No,20251020
TXN00000051,2024-11-14,STR01012,CUS06050,PRD01363,SUP147,Online,3,₹559.00,7.54%,₹42.15,₹516.85,"₹1,550.55","₹1,355.07",₹195.48,12.61%,UPI,No,,No,20241114
TXN00000052,2025-03-28,STR01237,CUS19400,PRD00407,SUP080,In-Store,3,₹165.00,5.96%,₹9.83,₹155.17,₹465.51,₹425.55,₹39.96,8.58%,UPI,No,,No,20250328
TXN00000053,2024-02-10,STR01340,CUS10929,PRD00081,SUP123,App,2,₹310.00,14.75%,₹45.72,₹264.28,₹528.56,₹458.88,₹69.68,13.18%,Debit Card,No,,No,20240210
TXN00000054,2024-06-26,STR01158,CUS14212,PRD00748,SUP274,In-Store,5,₹80.00,2.65%,₹2.12,₹77.88,₹389.40,₹323.95,₹65.45,16.81%,UPI,No,,No,20240626
TXN00000055,2024-04-13,STR01354,CUS06415,PRD01222,SUP290,Online,5,₹114.00,6.26%,₹7.14,₹106.86,₹534.30,₹396.55,₹137.75,25.78%,Debit Card,No,,No,20240413
TXN00000056,2024-11-17,STR01320,CUS00260,PRD01237,SUP017,In-Store,3,₹10.00,2.50%,₹0.25,₹9.75,₹29.25,₹20.61,₹8.64,29.54%,UPI,No,,No,20241117
TXN00000057,2025-03-20,STR01077,CUS02609,PRD00507,SUP066,In-Store,3,₹69.00,2.71%,₹1.87,₹67.13,₹201.39,₹180.81,₹20.58,10.22%,Credit Card,No,,No,20250320
TXN00000058,2024-01-23,STR01133,CUS03191,PRD00558,SUP026,Online,2,₹200.00,15.21%,₹30.42,₹169.58,₹339.16,₹311.38,₹27.78,8.19%,UPI,Yes,Republic Day Sale,No,20240123
TXN00000059,2025-09-05,STR01118,CUS08688,PRD00217,SUP029,App,3,₹169.00,2.41%,₹4.07,₹164.93,₹494.79,₹427.05,₹67.74,13.69%,UPI,No,,No,20250905
TXN00000060,2024-10-21,STR01038,CUS04878,PRD01028,SUP186,In-Store,2,₹30.00,10.92%,₹3.28,₹26.72,₹53.44,₹43.58,₹9.86,18.45%,UPI,No,,No,20241021
TXN00000061,2025-09-19,STR01274,CUS16275,PRD01669,SUP201,In-Store,1,₹165.00,7.32%,₹12.08,₹152.92,₹152.92,₹129.37,₹23.55,15.40%,Debit Card,No,,No,20250919
TXN00000062,2024-09-12,STR01456,CUS13497,PRD01278,SUP194,In-Store,1,₹175.00,0.68%,₹1.19,₹173.81,₹173.81,₹133.29,₹40.52,23.31%,UPI,No,,No,20240912
TXN00000063,2025-12-15,STR01173,CUS17216,PRD00157,SUP189,In-Store,1,₹39.00,1.73%,₹0.67,₹38.33,₹38.33,₹28.31,₹10.02,26.14%,UPI,No,,Yes,20251215
TXN00000064,2024-11-05,STR01108,CUS14443,PRD01940,SUP206,In-Store,5,₹145.00,7.45%,₹10.80,₹134.20,₹671.00,₹505.00,₹166.00,24.74%,Cash,Yes,Diwali,No,20241105
TXN00000065,2025-11-10,STR01088,CUS16876,PRD01931,SUP040,In-Store,2,₹264.00,7.66%,₹20.22,₹243.78,₹487.56,₹410.24,₹77.32,15.86%,UPI,No,,No,20251110
TXN00000066,2025-10-24,STR01267,CUS00843,PRD01343,SUP187,App,2,₹425.00,0.60%,₹2.55,₹422.45,₹844.90,₹628.52,₹216.38,25.61%,Credit Card,No,,No,20251024
TXN00000067,2024-08-30,STR01102,CUS04490,PRD00316,SUP147,In-Store,5,₹484.00,1.44%,₹6.97,₹477.03,"₹2,385.15","₹2,122.60",₹262.55,11.01%,Cash,No,,No,20240830
TXN00000068,2025-08-05,STR01170,CUS09160,PRD00023,SUP258,Online,2,₹74.00,9.30%,₹6.88,₹67.12,₹134.24,₹107.12,₹27.12,20.20%,UPI,No,,No,20250805
TXN00000069,2024-10-04,STR01250,CUS04223,PRD01885,SUP096,In-Store,5,₹235.00,9.41%,₹22.11,₹212.89,"₹1,064.45",₹904.80,₹159.65,15.00%,UPI,No,,No,20241004
TXN00000070,2024-09-25,STR01164,CUS03240,PRD00992,SUP044,App,2,₹54.00,5.97%,₹3.22,₹50.78,₹101.56,₹94.32,₹7.24,7.13%,UPI,No,,No,20240925
TXN00000071,2025-05-27,STR01048,CUS00701,PRD01656,SUP006,In-Store,1,₹139.00,9.50%,₹13.21,₹125.79,₹125.79,₹109.51,₹16.28,12.94%,UPI,No,,No,20250527
TXN00000072,2025-11-28,STR01008,CUS10313,PRD01963,SUP262,In-Store,1,₹70.00,20.89%,₹14.62,₹55.38,₹55.38,₹49.30,₹6.08,10.98%,UPI,No,,No,20251128
TXN00000073,2024-12-31,STR01269,CUS07082,PRD01975,SUP114,In-Store,3,₹380.00,5.10%,₹19.38,₹360.62,"₹1,081.86",₹907.35,₹174.51,16.13%,Net Banking,Yes,Christmas,No,20241231
TXN00000074,2024-06-25,STR01315,CUS16224,PRD01639,SUP150,In-Store,1,₹45.00,2.59%,₹1.17,₹43.83,₹43.83,₹31.32,₹12.51,28.54%,Wallet,No,,No,20240625
TXN00000075,2025-02-06,STR01435,CUS08537,PRD00886,SUP194,Online,5,₹294.00,4.85%,₹14.26,₹279.74,"₹1,398.70","₹1,137.70",₹261.00,18.66%,UPI,No,,No,20250206
TXN00000076,2024-10-09,STR01313,CUS05792,PRD01322,SUP018,Online,4,₹260.00,7.59%,₹19.73,₹240.27,₹961.08,₹833.80,₹127.28,13.24%,UPI,No,,No,20241009
TXN00000077,2024-08-02,STR01140,CUS05485,PRD01820,SUP159,In-Store,3,₹605.00,1.45%,₹8.77,₹596.23,"₹1,788.69","₹1,479.66",₹309.03,17.28%,Cash,No,,No,20240802
TXN00000078,2025-05-03,STR01008,CUS08905,PRD01290,SUP292,Phone-Order,1,"₹1,020.00",32.67%,₹333.23,₹686.77,₹686.77,₹716.05,-₹29.28,-4.26%,Cash,No,,No,20250503
TXN00000079,2024-08-20,STR01332,CUS05435,PRD01192,SUP122,Online,1,₹80.00,1.00%,₹0.80,₹79.20,₹79.20,₹60.59,₹18.61,23.50%,Cash,No,,No,20240820
TXN00000080,2025-06-08,STR01448,CUS15003,PRD00989,SUP210,App,2,₹34.00,11.68%,₹3.97,₹30.03,₹60.06,₹52.26,₹7.80,12.99%,UPI,No,,No,20250608
TXN00000081,2025-11-11,STR01132,CUS05954,PRD01318,SUP223,In-Store,3,₹79.00,6.05%,₹4.78,₹74.22,₹222.66,₹155.10,₹67.56,30.34%,UPI,No,,No,20251111
TXN00000082,2025-03-20,STR01207,CUS09238,PRD00962,SUP227,In-Store,5,₹135.00,13.60%,₹18.36,₹116.64,₹583.20,₹530.80,₹52.40,8.98%,UPI,No,,No,20250320
TXN00000083,2024-10-15,STR01374,CUS00448,PRD00986,SUP025,Phone-Order,3,₹40.00,21.73%,₹8.69,₹31.31,₹93.93,₹92.04,₹1.89,2.01%,Net Banking,Yes,Dussehra,No,20241015
TXN00000084,2024-02-03,STR01362,CUS14117,PRD01068,SUP053,In-Store,3,₹375.00,22.57%,₹84.64,₹290.36,₹871.08,₹781.89,₹89.19,10.24%,UPI,No,,No,20240203
TXN00000085,2025-09-23,STR01368,CUS19323,PRD00120,SUP123,In-Store,3,₹300.00,23.81%,₹71.43,₹228.57,₹685.71,₹671.43,₹14.28,2.08%,Cash,No,,No,20250923
TXN00000086,2024-07-11,STR01282,CUS11975,PRD01585,SUP138,Online,1,₹24.00,32.96%,₹7.91,₹16.09,₹16.09,₹17.91,-₹1.82,-11.31%,Credit Card,No,,No,20240711
TXN00000087,2025-12-26,STR01243,CUS17939,PRD00516,SUP291,Online,2,₹120.00,38.21%,₹45.85,₹74.15,₹148.30,₹182.24,-₹33.94,-22.89%,Credit Card,Yes,Christmas,No,20251226
TXN00000088,2024-01-06,STR01372,CUS07589,PRD01913,SUP034,Online,4,₹495.00,9.62%,₹47.62,₹447.38,"₹1,789.52","₹1,530.16",₹259.36,14.49%,Wallet,No,,No,20240106
TXN00000089,2025-10-12,STR01035,CUS15842,PRD00589,SUP011,Phone-Order,5,₹145.00,9.69%,₹14.05,₹130.95,₹654.75,₹565.95,₹88.80,13.56%,Wallet,Yes,Dussehra,No,20251012
TXN00000090,2025-07-09,STR01218,CUS07737,PRD01352,SUP012,App,1,₹100.00,2.50%,₹2.50,₹97.50,₹97.50,₹79.42,₹18.08,18.54%,Credit Card,No,,No,20250709
TXN00000091,2024-10-15,STR01382,CUS05276,PRD00681,SUP130,In-Store,4,₹89.00,3.70%,₹3.29,₹85.71,₹342.84,₹262.24,₹80.60,23.51%,Cash,Yes,Dussehra,No,20241015
TXN00000092,2024-06-08,STR01192,CUS16883,PRD00527,SUP272,Phone-Order,3,₹60.00,1.51%,₹0.91,₹59.09,₹177.27,₹141.63,₹35.64,20.10%,UPI,No,,No,20240608
TXN00000093,2025-08-30,STR01185,CUS17260,PRD01807,SUP113,App,2,₹180.00,5.51%,₹9.92,₹170.08,₹340.16,₹295.86,₹44.30,13.02%,Cash,No,,No,20250830
TXN00000094,2024-10-20,STR01249,CUS16626,PRD01982,SUP050,Online,4,₹400.00,2.24%,₹8.96,₹391.04,"₹1,564.16","₹1,327.60",₹236.56,15.12%,Credit Card,No,,No,20241020
TXN00000095,2024-08-23,STR01184,CUS06713,PRD00892,SUP242,App,1,₹224.00,8.87%,₹19.87,₹204.13,₹204.13,₹195.48,₹8.65,4.24%,Debit Card,No,,No,20240823
TXN00000096,2024-01-21,STR01205,CUS02337,PRD01061,SUP099,In-Store,5,₹135.00,4.70%,₹6.35,₹128.65,₹643.25,₹547.95,₹95.30,14.82%,UPI,No,,No,20240121
TXN00000097,2025-04-16,STR01215,CUS10560,PRD00754,SUP179,Phone-Order,2,₹185.00,3.16%,₹5.85,₹179.15,₹358.30,₹292.04,₹66.26,18.49%,UPI,No,,No,20250416
TXN00000098,2024-01-11,STR01442,CUS14831,PRD00868,SUP105,In-Store,2,₹280.00,0.50%,₹1.40,₹278.60,₹557.20,₹421.74,₹135.46,24.31%,UPI,No,,No,20240111
TXN00000099,2024-10-15,STR01090,CUS10660,PRD01333,SUP104,Online,3,₹195.00,25.26%,₹49.26,₹145.74,₹437.22,₹428.13,₹9.09,2.08%,Wallet,Yes,Dussehra,No,20241015
TXN00000100,2025-06-28,STR01077,CUS19118,PRD00609,SUP039,In-Store,2,₹325.00,8.97%,₹29.15,₹295.85,₹591.70,₹442.02,₹149.68,25.30%,Cash,No,,No,20250628
TXN00000101,2024-03-23,STR01228,CUS13045,PRD01230,SUP093,Online,2,₹250.00,12.43%,₹31.08,₹218.92,₹437.84,₹346.82,₹91.02,20.79%,Credit Card,No,,No,20240323
TXN00000102,2024-06-16,STR01444,CUS07661,PRD00585,SUP113,Online,1,₹54.00,8.59%,₹4.64,₹49.36,₹49.36,₹47.24,₹2.12,4.29%,Debit Card,No,,No,20240616
TXN00000103,2025-11-10,STR01087,CUS02510,PRD01448,SUP065,Online,3,₹65.00,5.77%,₹3.75,₹61.25,₹183.75,₹151.86,₹31.89,17.36%,Credit Card,No,,No,20251110
TXN00000104,2025-07-12,STR01480,CUS13190,PRD00032,SUP237,In-Store,4,₹345.00,5.17%,₹17.84,₹327.16,"₹1,308.64","₹1,045.00",₹263.64,20.15%,UPI,No,,No,20250712
TXN00000105,2024-11-04,STR01121,CUS03466,PRD01628,SUP189,Online,3,₹75.00,9.52%,₹7.14,₹67.86,₹203.58,₹161.61,₹41.97,20.62%,Debit Card,Yes,Diwali,No,20241104
TXN00000106,2025-05-16,STR01171,CUS07438,PRD01709,SUP244,In-Store,5,₹375.00,5.49%,₹20.59,₹354.41,"₹1,772.05","₹1,372.10",₹399.95,22.57%,Cash,No,,No,20250516
TXN00000107,2025-02-09,STR01279,CUS00222,PRD01019,SUP219,Online,1,₹235.00,8.63%,₹20.28,₹214.72,₹214.72,₹185.88,₹28.84,13.43%,UPI,No,,No,20250209
TXN00000108,2024-07-15,STR01268,CUS08243,PRD00027,SUP265,In-Store,5,₹25.00,5.73%,₹1.43,₹23.57,₹117.85,₹96.95,₹20.90,17.73%,Net Banking,No,,No,20240715
TXN00000109,2024-08-16,STR01358,CUS18859,PRD01141,SUP166,Online,2,₹55.00,35.09%,₹19.30,₹35.70,₹71.40,₹91.36,-₹19.96,-27.96%,Cash,Yes,Independence Day Sale,No,20240816
TXN00000110,2025-01-14,STR01383,CUS19691,PRD01436,SUP204,In-Store,2,₹80.00,3.15%,₹2.52,₹77.48,₹154.96,₹124.30,₹30.66,19.79%,UPI,No,,No,20250114
TXN00000111,2024-09-28,STR01290,CUS14855,PRD00657,SUP108,Phone-Order,5,₹65.00,1.14%,₹0.74,₹64.26,₹321.30,₹253.20,₹68.10,21.20%,UPI,No,,No,20240928
TXN00000112,2024-10-27,STR01115,CUS19512,PRD01157,SUP203,Online,4,₹229.00,7.86%,₹18.00,₹211.00,₹844.00,₹639.16,₹204.84,24.27%,Wallet,Yes,Diwali,No,20241027
TXN00000113,2025-02-22,STR01010,CUS01804,PRD00511,SUP102,In-Store,1,₹234.00,3.82%,₹8.94,₹225.06,₹225.06,₹177.35,₹47.71,21.20%,UPI,No,,No,20250222
TXN00000114,2025-03-21,STR01190,CUS06091,PRD00959,SUP161,Online,1,₹75.00,4.96%,₹3.72,₹71.28,₹71.28,₹59.77,₹11.51,16.15%,Cash,No,,No,20250321
TXN00000115,2025-04-26,STR01401,CUS03214,PRD01073,SUP074,In-Store,2,₹314.00,6.65%,₹20.88,₹293.12,₹586.24,₹454.78,₹131.46,22.42%,UPI,No,,No,20250426
TXN00000116,2024-05-14,STR01224,CUS15437,PRD01067,SUP278,Online,1,₹59.00,6.23%,₹3.68,₹55.32,₹55.32,₹42.01,₹13.31,24.06%,Credit Card,No,,No,20240514
TXN00000117,2024-02-13,STR01280,CUS07776,PRD01893,SUP207,In-Store,1,₹159.00,5.62%,₹8.94,₹150.06,₹150.06,₹120.76,₹29.30,19.53%,Cash,No,,No,20240213
TXN00000118,2024-11-30,STR01180,CUS17560,PRD01071,SUP176,In-Store,3,₹129.00,0.57%,₹0.74,₹128.26,₹384.78,₹336.00,₹48.78,12.68%,Credit Card,No,,No,20241130
TXN00000119,2024-09-10,STR01449,CUS04826,PRD00945,SUP047,App,5,₹165.00,17.85%,₹29.45,₹135.55,₹677.75,₹604.95,₹72.80,10.74%,Wallet,No,,No,20240910
TXN00000120,2024-09-14,STR01352,CUS13081,PRD00593,SUP003,In-Store,2,₹710.00,16.58%,₹117.72,₹592.28,"₹1,184.56","₹1,169.56",₹15.00,1.27%,Debit Card,No,,Yes,20240914
TXN00000121,2025-02-12,STR01338,CUS07285,PRD00951,SUP264,In-Store,2,₹45.00,7.32%,₹3.29,₹41.71,₹83.42,₹77.16,₹6.26,7.50%,UPI,No,,No,20250212
TXN00000122,2025-05-18,STR01464,CUS15992,PRD01963,SUP156,In-Store,3,₹70.00,2.37%,₹1.66,₹68.34,₹205.02,₹147.90,₹57.12,27.86%,UPI,No,,No,20250518
TXN00000123,2025-06-24,STR01129,CUS00417,PRD01755,SUP052,In-Store,4,₹35.00,3.62%,₹1.27,₹33.73,₹134.92,₹116.24,₹18.68,13.85%,UPI,No,,No,20250624
TXN00000124,2024-04-29,STR01009,CUS18262,PRD00997,SUP256,In-Store,4,₹59.00,6.45%,₹3.81,₹55.19,₹220.76,₹204.00,₹16.76,7.59%,Debit Card,No,,No,20240429
TXN00000125,2024-04-05,STR01444,CUS02480,PRD00762,SUP050,Phone-Order,2,"₹1,295.00",4.40%,₹56.98,"₹1,238.02","₹2,476.04","₹2,074.42",₹401.62,16.22%,UPI,Yes,Eid,No,20240405
TXN00000126,2024-12-24,STR01069,CUS08028,PRD01700,SUP070,In-Store,2,₹624.00,12.58%,₹78.50,₹545.50,"₹1,091.00","₹1,077.46",₹13.54,1.24%,UPI,Yes,Christmas,No,20241224
TXN00000127,2024-06-20,STR01477,CUS14073,PRD00417,SUP169,In-Store,5,₹34.00,1.56%,₹0.53,₹33.47,₹167.35,₹141.10,₹26.25,15.69%,Cash,No,,No,20240620
TXN00000128,2025-06-14,STR01348,CUS06330,PRD01036,SUP084,In-Store,3,₹49.00,3.56%,₹1.74,₹47.26,₹141.78,₹96.87,₹44.91,31.68%,Debit Card,No,,No,20250614
TXN00000129,2025-07-01,STR01424,CUS02926,PRD01629,SUP035,App,3,₹60.00,9.79%,₹5.87,₹54.13,₹162.39,₹151.89,₹10.50,6.47%,Cash,No,,No,20250701
TXN00000130,2025-02-01,STR01243,CUS19317,PRD00317,SUP188,Online,3,₹214.00,17.96%,₹38.43,₹175.57,₹526.71,₹507.72,₹18.99,3.61%,Credit Card,No,,No,20250201
TXN00000131,2024-01-10,STR01437,CUS06291,PRD01046,SUP170,App,3,₹110.00,9.45%,₹10.40,₹99.60,₹298.80,₹223.80,₹75.00,25.10%,Cash,No,,No,20240110
TXN00000132,2024-06-27,STR01329,CUS04522,PRD01090,SUP229,In-Store,3,₹35.00,1.60%,₹0.56,₹34.44,₹103.32,₹91.08,₹12.24,11.85%,Cash,No,,No,20240627
